ID,EMP,AREA_KM,EMP_DENS,X,Y
1,16112,327.294135,49.227891,237078.2806,527086.6196
2,3330,18.572576,179.296614,231688.2051,187846.3897
3,1867,48.203896,38.731309,239144.83,115040.9318
4,300,155.284614,1.931936,143792.8564,173828.4624
5,18619,286.516708,64.983994,229985.6421,411540.3989
6,6611,183.105453,36.104878,246641.9593,455891.6199
7,2196,117.836548,18.635984,198665.5863,184384.044
8,1373,2.277277,602.912987,318919.7385,566357.9707
9,9442,4.208255,2243.685455,311960.9949,570277.7586
10,1457,1.592066,915.16284,325630.6398,567262.1856
11,2134,49.451204,43.153651,283706.8101,454721.8513
12,7537,1.482275,5084.752959,329125.4481,575686.9571
13,2924,15.211524,192.22269,332436.2805,556738.8419
14,336,30.902544,10.872891,242286.48,96162.00235
15,1717,6.710592,255.864168,312548.3404,563101.7902
16,4102,3.24362,1264.636417,282484.5679,119128.539
17,22841,168.463711,135.584096,200938.2777,569331.3401
18,16679,295.481678,56.446816,208337.9364,511401.1624
19,14545,60.004844,242.397098,178856.486,497303.203
20,2188,38.564797,56.73568,147128.2144,207065.241
21,2631,42.910462,61.313719,260145.2994,552911.5981
22,30591,132.993049,230.019541,219102.9741,533817.9257
23,98,7.110354,13.782717,161857.0623,219313.7406
24,3078,3.712923,828.996373,153051.3493,207458.7674
25,971,16.141811,60.154341,158420.1826,219279.743
26,1624,29.635849,54.798497,159477.1627,197335.44
27,6527,450.393766,14.491764,170367.5793,312999.5233
28,9229,337.267081,27.36407,203385.6237,305960.5177
29,10624,3.389588,3134.304518,333617.8153,576029.9363
30,894,50.395059,17.739835,243546.105,497147.1059
31,465,61.78314,7.526325,179265.3546,248942.9004
32,231,30.420485,7.593567,145766.0827,256594.0741
33,1733,11.813286,146.699229,148787.709,226795.9472
34,2753,19.133221,143.88586,140106.3163,256488.7489
35,375,35.811255,10.471568,165867.5238,225442.1244
36,8354,16.200241,515.671329,149697.2985,237060.3624
37,759,95.165947,7.975542,182690.3073,230382.9881
38,687,83.507719,8.226784,169449.2726,236750.8435
39,1968,16.192311,121.539168,154695.4217,237549.2462
40,2240,17.17652,130.410585,167184.0579,229966.3122
41,1105,95.026299,11.62836,184693.2428,222030.8873
42,337,69.770384,4.83013,282290.0847,66474.0109
43,5340,127.463157,41.894459,201837.0881,328275.2355
44,2885,5.525601,522.115131,250702.9906,165007.9858
45,1066,21.421251,49.763667,249777.0344,154121.1474
46,1093,57.255154,19.089984,260551.4881,149646.6591
47,771,8.104,95.138198,249121.1643,134354.6332
48,2914,170.893953,17.05151,259411.9313,214427.4124
49,489,9.674153,50.547059,295151.308,616362.8682
50,801,31.949867,25.070527,228862.2643,238859.7716
51,690,105.062913,6.567494,144990.8451,343918.8044
52,1304,88.199045,14.784741,173004.3279,340101.6423
53,2591,15.470875,167.475987,194178.3951,256227.2532
54,1173,142.026804,8.259004,224327.4096,204167.2023
55,2520,230.54571,10.930587,246485.2599,251833.2641
56,1294,4.002629,323.287524,159917.6157,233969.4056
57,1070,1.080554,990.233191,151483.0125,249660.6262
58,144,46.918523,3.06915,256915.4208,92740.4319
59,429,55.844022,7.682111,309305.7819,115401.5712
60,301,4.650131,64.729356,342095.4832,644799.1958
61,917,9.55874,95.93315,313398.2777,620760.4665
62,2733,11.384992,240.052869,331505.9628,630881.3039
63,11986,5.714988,2097.292138,335093.1359,624965.2695
64,3588,2.992513,1198.992198,300157.8617,382600.1595
65,780,4.86457,160.343063,337687.4373,549551.7284
66,999,1.076338,928.147014,365561.8464,545116.1877
67,10789,40.703829,265.061056,312304.8807,604289.4424
68,450,5.245917,85.780992,327968.5763,616366.4377
69,2849,67.976369,41.911624,254422.4451,130705.3512
70,24750,76.573135,323.220408,180289.669,487466.2024
71,21222,3.425709,6194.921707,326348.6586,573136.5052
72,995,12.139093,81.966584,313390.3684,574529.9486
73,194,2.067401,93.837635,313485.477,589911.4402
74,6946,8.022956,865.765731,309197.0665,579498.6221
75,17747,8.748043,2028.682338,329441.4569,589801.0462
76,2409,1.676759,1436.700236,319932.4451,573808.176
77,5590,3.745025,1492.646952,324212.5501,589329.0652
78,13612,6.058251,2246.853083,326292.7215,589820.6289
79,723,1.329817,543.683643,317532.4281,576153.985
