ID,POP,EMP,AREA_KM,EMP_DENS,X,Y
1,2916,2083,5.715897,364.422242,970264.845,535032.8749
2,4969,5570,106.642374,52.230645,981617.4177,539979.4639
3,4224,1214,4.928398,246.327508,975450.2924,544228.5433
4,3317,510,4.758604,107.174289,975386.1672,533051.6264
5,3641,4117,2.918792,1410.515035,971724.6823,543123.699
6,6280,5336,5.214732,1023.254886,960109.0441,536649.0354
7,5768,856,5.294506,161.677029,959178.9757,539120.362
8,3249,1278,2.085957,612.66843,957666.5478,531331.6706
9,2662,99,0.776846,127.438385,961504.9643,531321.3913
10,1801,2362,2.964849,796.667891,955845.526,524803.0798
11,4497,512,3.235497,158.244622,953870.7625,533484.6644
12,2781,299,2.498767,119.659016,953392.9468,531811.2702
13,2598,546,1.313963,415.536815,973779.0778,544950.766
14,4343,924,6.811217,135.658576,972108.1112,532677.3354
15,2047,5668,9.646197,587.589078,967621.4597,533464.0198
16,3879,920,7.310091,125.853426,965978.6566,538949.8839
17,1792,3501,0.864658,4048.99972,973843.7824,543360.7935
18,1289,128,4.212415,30.38637,974908.5585,535250.2586
19,3411,2774,6.800718,407.898107,958792.9889,541710.9355
20,3276,1050,3.255695,322.511783,977633.908,543907.8373
21,3157,571,16.920579,33.74589,967525.1626,543233.3974
22,1533,6731,8.566062,785.775307,965337.5408,529504.8919
23,1631,14187,11.868987,1195.299986,960162.6971,525680.8069
24,0,1073,7.97017,134.62699,968548.8621,525466.4582
25,2141,818,1.382942,591.492629,963743.3243,525473.3481
26,5065,15896,6.445478,2466.225158,964194.5004,523027.0439
27,3079,646,1.106053,584.058811,965074.7652,526072.6163
28,854,4173,3.891972,1072.207097,962161.2142,524252.6955
29,1096,1455,2.352657,618.449693,965453.9723,528306.7443
30,2136,1058,174.008915,6.080148,997406.6554,532575.6531
31,1772,607,371.251285,1.635011,1032225.165,525984.3189
32,1564,9055,5.222111,1733.9731,957617.6997,524360.608
33,1080,352,0.756567,465.259521,957302.0621,527992.154
34,2764,1894,3.261491,580.715998,953836.1605,535076.4303
35,2865,2977,1.5678,1898.839138,957779.848,534113.5776
36,3559,6682,2.964822,2253.760934,956752.3385,536547.1705
37,4743,6914,1.422849,4859.264757,958539.9963,535107.891
38,2429,458,1.084206,422.428948,956309.5345,530752.1943
39,4051,1035,1.625908,636.567383,959839.2903,532046.2531
40,2518,5208,2.228949,2336.527215,958672.3176,531171.4551
41,2087,398,1.037975,383.438907,955435.9054,533479.9865
42,1556,2969,1.591738,1865.256719,955869.551,529287.7134
43,2393,206,0.770696,267.290864,955437.8319,528006.3615
44,3680,306,1.567431,195.223905,963353.6546,535081.1858
45,6151,1355,2.059857,657.812654,961034.8007,533504.5618
46,2785,627,1.376255,455.584176,961324.8999,535035.6282
47,3735,1440,1.180221,1220.110471,953110.7305,527973.0345
48,3026,546,1.200886,454.664306,953827.8449,530655.6245
49,2029,687,0.687997,998.550866,955416.5689,532116.5759
50,1003,211,0.3202,658.963148,955805.6869,530096.7234
51,2098,793,0.945051,839.108154,953848.5022,528546.7681
52,1946,720,0.722841,996.069675,956289.4113,532168.6288
53,4354,2656,3.188434,833.010813,956189.4705,535093.0931
54,3322,340,1.335217,254.640257,959833.2572,535171.4719
55,2800,667,1.444306,461.813494,959313.9147,533458.2078
56,1029,1710,0.559644,3055.513862,959497.8137,530417.8792
57,2742,2060,1.482095,1389.924398,953940.4939,526627.7363
58,1275,843,0.661727,1273.939253,953002.6892,524363.5643
59,1450,571,1.548632,368.712515,954661.1878,524930.1479
60,4321,1561,4.462684,349.789499,957011.9582,539156.0905
61,4458,487,2.162685,225.183048,961266.2523,538348.3055
62,473,1356,4.617131,293.688873,960864.5953,544153.2989
63,1617,290,0.939691,308.612086,963067.3727,537115.8627
64,1427,582,0.644105,903.579385,962972.4052,536283.408
65,2059,2000,1.10635,1807.746192,959376.238,529163.5845
66,1711,898,0.521884,1720.688889,955810.8479,526600.5949
67,5125,998,1.122592,889.013996,957057.0237,529523.3542
68,2174,219,0.88113,248.544483,962164.2171,530543.5881
69,2212,106,0.627627,168.890121,964535.2091,536348.8723
70,3503,8036,33.15236,242.396016,982435.1603,521230.0103
71,2102,3170,2.171231,1460.001262,971050.435,519071.8572
72,2553,13416,9.981642,1344.067439,975178.2077,518544.3546
73,1090,775,1.062113,729.677539,972439.2654,544780.6038
74,2614,5073,3.132681,1619.379694,972890.915,518899.7979
75,1742,194,1.149391,168.785035,962878.3319,533433.1588
76,746,79,0.459012,172.10879,964445.2049,537177.0611
77,1745,623,0.374374,1664.11129,968027.5675,516809.4669
78,3781,4222,5.738114,735.781827,969551.6419,434219.8657
79,1984,54,0.793362,68.064767,956792.5962,533646.9783
80,5002,636,2.822887,225.301261,963051.1186,538844.7889
81,469,25805,1.702182,15159.95351,971072.2452,517518.9609
82,2951,508,0.435339,1166.906709,969553.7553,516833.187
83,2224,1480,1.417514,1044.081399,953871.9162,522838.6372
84,2959,572,1.248549,458.131799,954621.9296,531880.0245
85,2063,2158,0.868613,2484.420565,953661.0636,529909.2058
86,1752,1007,0.611428,1646.964156,957411.3052,526843.8995
87,339,63,3.006662,20.953469,965934.865,535622.3277
88,2366,425,1.312647,323.773261,961557.7435,539953.6998
89,1739,123,2.715506,45.295426,963471.8779,531496.4098
90,1220,845,1.174345,719.550047,955919.6441,522978.2386
91,5988,1690,1.808885,934.277193,959584.4619,528040.9545
92,3802,2347,2.333548,1005.764613,971221.005,436630.654
93,1220,479,0.959671,499.129389,961542.238,532343.2401
