ID,EMP,AREA_KM,EMP_DENS,X,Y
1,1914,66.180524,28.920895,1935743.148,624447.7437
2,2740,16.264134,168.468848,1955672.573,640604.8932
3,693,5.032359,137.708789,1951599.348,642741.0424
4,2888,20.121817,143.525807,1952136.297,634521.5389
5,474,11.276457,42.034478,1950695.631,639497.3645
6,1262,10.241806,123.220456,1906841.624,655081.7462
7,6710,14.029971,478.261857,1903719.058,656445.1876
8,897,1268.649601,0.707051,1999068.825,694723.0672
9,1841,300.772501,6.120905,1878386.189,581524.6955
10,1123,271.754104,4.132412,1948643.509,684106.8139
11,941,2.133905,440.975602,1958931.209,639317.6942
12,1626,3.976991,408.851804,1949236.249,630459.9243
13,953,12.128108,78.577797,1952623.888,653642.678
14,2053,45.044622,45.577028,1953856.537,659552.8455
15,1009,56.749575,17.779869,1947753.441,661081.2628
16,1271,230.707668,5.509136,1959169.048,678277.271
17,889,26.954415,32.98161,1950150.649,645439.647
18,2086,97.279562,21.443353,1960104.153,648045.0392
19,1381,4.002481,345.035956,1939809.245,668003.8824
20,240,17.128427,14.011794,1943689.274,665194.3543
21,2600,1.958769,1327.364141,1941105.134,666310.1591
22,3581,8.775784,408.054688,1948870.645,650690.3322
23,1883,2.636202,714.28509,1951627.546,650448.714
24,6036,4.173407,1446.300426,1922540.798,664734.6882
25,957,1.248466,766.540685,1922362.525,666644.6785
26,1015,24.406939,41.586535,1921442.021,653557.8759
27,1742,6.293139,276.809412,1925661.268,652634.4031
28,188,1.255742,149.712225,1928111.929,653114.8777
29,609,1.695775,359.127865,1928210.535,653933.2673
30,2390,6.188029,386.229603,1926197.192,655880.805
31,1183,95.404348,12.399854,1858312.08,676957.1997
32,2973,48.300672,61.551939,1862118.016,654157.7392
33,1617,151.681781,10.660476,1903636.989,655222.1657
34,5241,36.328384,144.267358,1927690.735,646970.4918
35,1395,163.909444,8.510797,1917033.798,639327.6094
36,193,1.635283,118.022408,1876964.477,659482.7664
37,630,6.042036,104.269481,1940299.975,654272.446
38,10114,29.197702,346.397129,1935610.36,649980.3279
39,1868,29.677314,62.943702,1942301.833,645391.0549
40,763,34.26011,22.270798,1943273.566,655561.4641
41,1977,3.063518,645.33645,1928379.82,651915.1194
