ID,EMP,EMP_DENS,AREA_KM,X,Y
1,107,41.690873,2.566509,331078.572,8227371.094
2,1098,175.992332,6.238908,241212.7407,8136596.319
3,128,87.418289,1.464224,244274.2073,8144152.349
4,472,355.964378,1.325975,257006.5038,8141107.954
5,57,171.115135,0.333109,226777.3301,8173185.043
6,139,102.552417,1.355404,250693.6866,8141821.997
7,343,90.000394,3.811094,245445.8327,8138153.005
8,3471,2547.728128,1.36239,244612.8701,8140380.644
9,8078,3054.11692,2.644954,236229.6997,8153796.174
10,846,69.322733,12.203789,250864.6465,8139978.353
11,32949,4909.024676,6.711924,238897.4268,8145979.718
12,3803,888.978196,4.277945,224995.6227,8158102.348
13,715,8.866952,80.636507,280177.8619,8172519.707
14,1979,5.138129,385.159676,255833.4318,8082370.676
15,455,0.367242,1238.964861,197864.089,8170767.76
16,261,0.854285,305.518752,211492.7326,8162694.091
17,462,4.627527,99.837353,218387.0433,8148764.818
18,289,70.434421,4.103107,244968.5729,8134868.329
19,72,78.698579,0.914883,244977.1776,8132633.364
20,168,50.081615,3.354524,244565.3388,8130869.01
21,312,75.250043,4.146177,232403.6195,8140043.341
22,1617,42.867345,37.72102,328825.9263,8229123.945
23,147,121.858076,1.206321,221260.6984,8158205.339
24,4889,2216.854752,2.205377,243173.0189,8163867.163
25,2252,1794.066634,1.255249,241024.0726,8160620.327
26,411,2201.627575,0.18668,242476.7534,8161600.183
27,1248,1644.986116,0.758669,242770.3228,8149573.103
28,1106,1367.487016,0.808783,241403.4507,8148587.506
29,1476,1227.231581,1.202707,225515.364,8155549.441
30,12744,3370.147162,3.781437,243054.7049,8147502.692
31,482,732.703035,0.657838,243808.8029,8149020.186
32,1560,395.516833,3.944206,242886.7985,8145746.837
33,43625,3965.184581,11.00201,234611.4658,8147877.978
34,407,16.960181,23.997385,259392.2666,8143517.576
35,1348,460.09289,2.929843,231617.4361,8142510.365
36,2098,362.836965,5.782211,235039.3439,8141003.013
37,301,1517.262793,0.198384,233786.5989,8159153.969
38,3343,2496.116337,1.339281,234619.3942,8157320.16
39,1862,2211.638148,0.84191,233217.7969,8156747.043
40,44856,25986.42083,1.726132,233024.9617,8155554.081
41,901,1215.47018,0.741277,240407.4991,8155704.936
42,1814,3107.099806,0.583824,239939.8814,8156743.553
43,506,1331.175386,0.380115,240871.3265,8156727.781
44,4249,1166.822674,3.641513,246093.8623,8161800.696
45,764,1227.116555,0.622598,246095.4911,8157716.641
46,969,1514.058234,0.640002,244700.6242,8155933.839
47,700,525.091207,1.333102,243749.619,8153823.266
48,383,1163.375318,0.329214,245470.5558,8155796.498
49,1352,2229.070571,0.606531,246118.4911,8156837.537
50,4609,3581.084922,1.28704,253704.8786,8142482.626
51,1127,978.421549,1.151855,255003.2556,8143288.256
52,858,1612.551405,0.532076,233458.4181,8149467.013
53,678,200.800894,3.376479,247606.8649,8139511.213
54,6481,1632.47009,3.970057,229902.8581,8147450.836
