ID,POP,EMP,AREA_KM,EMP_DENS,X,Y
1,4555,774,9.581333794,80.782072,1907213.862,788787.7442
2,1883,1111,2.145235669,517.891818,1907576.54,792073.3256
3,3933,904,3.15583422,286.453577,1909646.298,791415.9621
4,3017,313,2.492790803,125.562081,1910273.749,792724.9942
5,2502,877,38.07983894,23.03056,1920802.511,781986.6653
6,3089,6308,4.037108282,1562.504535,1905244.272,794994.3971
7,3444,1339,1.273853628,1051.141176,1906860.115,795523.163
8,3193,382,1.706847148,223.804458,1908926.927,788988.7013
9,5676,692,58.07455949,11.915717,1909119.03,780698.3073
10,4092,507,2.412671478,210.140504,1909521.043,787383.4676
11,7,568,8.354455391,67.987675,1920501.306,791557.9081
12,1757,849,72.19437057,11.75992,1917761.472,792881.2648
13,3021,390,171.8228777,2.269779,1935684.901,823892.5311
14,4565,741,269.3594184,2.750971,1917642.771,806979.1446
15,1985,3832,468.2668744,8.183368,1857936.209,756193.3986
16,4803,956,4.149799989,230.372549,1890312.318,731190.3489
17,2707,61,0.774855306,78.724375,1890903.683,729853.365
18,3005,4459,1.545620938,2884.924686,1891405.879,728341.9347
19,2880,400,0.80037802,499.763849,1888468.446,729151.1416
20,1302,362,0.456647249,792.734437,1890580.433,728717.3233
21,1586,105,1.996942964,52.58037,1886985.913,728715.6654
22,2437,388,0.835980922,464.125424,1888977.541,728615.0956
23,6023,2341,195.0030708,12.004939,1865815.845,731446.2502
24,3367,272,1.703705633,159.651993,1908340.256,727543.495
25,4077,2686,3.896216922,689.386668,1906764.624,727680.6871
26,5219,13484,9.127046695,1477.367264,1907523.741,730504.2189
27,5185,1843,1.835682545,1003.986231,1887674.4,742001.3656
28,4827,3028,1.567716888,1931.471188,1887800.068,742837.8874
29,3847,2076,95.55599447,21.725482,1903832.016,716905.7052
30,3081,694,1.630715188,425.580141,1895058.118,727606.8588
31,5932,1624,2.154895635,753.632786,1893507.148,728816.9572
32,3777,1112,1.473224396,754.806941,1887841.969,743663.8569
33,5424,8197,97.80815028,83.806922,1886711.688,740877.6406
34,1861,1019,0.978225366,1041.68225,1887979.045,741201.1014
35,5879,1334,7.599301846,175.542442,1909978.723,727471.8808
36,7041,1631,2.245983629,726.185168,1892272.592,741558.2751
37,5095,634,0.942570014,672.629079,1889905.517,728649.6307
38,5144,1709,1.79249295,953.420765,1893479.585,727276.6481
39,1927,1777,187.7635962,9.464028,1882259.063,755559.0888
40,1061,162,0.606135111,267.267144,1887670.865,740473.1985
41,5631,3961,2.227226311,1778.445226,1911273.066,732615.0482
42,1155,2458,1.763328799,1393.954435,1910880.905,730563.4149
43,1701,262,3.559210987,73.61182,1888951.185,727257.3154
44,2849,144,5.333937361,26.996942,1906926.012,724288.8947
45,5006,1261,1.618794527,778.974712,1892348.013,728268.9477
46,4251,2002,53.46882891,37.442376,1889893.858,732129.8055
47,7135,6041,43.33428838,139.40462,1904291.5,740062.6906
48,3450,807,1.654904086,487.641554,1889732.924,740420.6744
49,4242,407,1.124236406,362.023501,1890257.913,741622.016
50,3032,807,1.845715402,437.228838,1895068.628,729051.4519
51,2420,202,0.570944711,353.799582,1888113.58,728275.4702
52,4158,870,1.542543985,564.003366,1910029.243,731125.945
53,3098,4681,3.192421848,1466.284916,1890344.203,743190.8494
54,1784,348,0.780886511,445.647345,1891094.997,741591.5286
55,2123,1739,0.921255582,1887.641208,1889462.873,741585.3068
56,4829,748,66.57991928,11.234619,1897337.581,805025.306
57,3180,982,10.89016418,90.173112,1899660.561,809882.8881
58,4774,1110,3.503609122,316.816163,1903105.751,795572.1067
59,4430,1579,13.48246869,117.11505,1898086.374,796200.9755
60,3014,2854,1.854778944,1538.727841,1903768.397,793078.8149
61,2325,2051,1.214903771,1688.19955,1902323.087,793069.3937
62,2921,1482,1.752454855,845.670858,1901485.842,795452.4757
63,5433,900,6.602904073,136.303661,1899332.929,791425.3982
64,765,683,82.52470477,8.27631,1886897.465,778271.8662
65,4837,1101,2.438191982,451.564113,1903810.556,791776.0481
66,5204,5037,8.116623579,620.578243,1899090.194,793027.6009
67,4000,528,1.435242602,367.882056,1902686.111,789964.7503
68,1748,587,1.054896253,556.452825,1902342.199,791328.123
69,3691,2928,1.741667397,1681.14762,1902788.54,794317.7231
70,1666,930,169.9095893,5.473499,1884683.12,804509.3773
71,1488,1567,140.4387611,11.157888,1910023.072,762066.0196
72,2912,1571,8.472490503,185.423637,1901173.229,796994.1037
73,5516,700,19.10086944,36.647546,1899298.622,787933.344
74,3023,530,8.10195421,65.416316,1902953.602,787252.9538
75,2219,594,2.286650129,259.768643,1903921.278,789918.0998
76,1789,1274,97.05710717,13.126293,1900001.813,780745.7477
77,2355,950,1.146419496,828.666996,1914750.602,726025.0452
78,3640,672,1.16842954,575.130957,1915498.215,726138.1425
79,2563,932,0.93076719,1001.32451,1915375.261,727624.3395
80,1743,1637,0.43517177,3761.732982,1915573.18,731315.7398
81,6249,790,2.019066073,391.270009,1916710.292,735486.4656
82,2968,7481,2.667603299,2804.389994,1916796.27,733850.6416
83,7426,886,4.025154012,220.115801,1927388.7,746197.6722
84,1584,704,0.90115867,781.216475,1916770.257,731047.8528
85,1710,5947,0.475730098,12500.78568,1915050.645,730015.0093
86,3697,859,9.066278783,94.7467,1919645.426,742706.7925
87,1809,6898,3.218911906,2142.960168,1913902.402,732845.1125
88,2999,5630,1.23797282,4547.757357,1916362.691,729937.5911
89,1421,2118,0.5117263,4138.9313,1914818.838,729309.1587
90,3528,1035,1.220119385,848.277646,1916056.594,728312.6472
91,9313,866,3.061042311,282.91017,1913977.662,719898.1091
92,2040,58561,1.425252161,41088.16783,1913713.359,731012.3696
93,1569,2285,0.64260645,3555.8311,1912520.94,730181.0295
