ID,POP,EMP,AREA_KM,EMP_DENS,X,Y
1,2361,628,1.561677,402.131811,137573.585,128498.285
2,1114,325,0.609429,533.286076,135496.073,136917.663
3,3342,3610,1.436407,2513.215266,136091.072,136153.897
4,1674,5106,3.697281,1381.014859,141824.68,131630.085
5,1418,82,4.575427,17.921825,130166.392,127936.908
6,2270,418,6.315266,66.188819,145806.54,143033.763
7,2877,204,5.454772,37.398447,136129.282,158968.211
8,2243,1106,33.57223,32.943894,132531.325,103696.401
9,3886,522,36.599465,14.262504,119174.124,134681.831
10,1391,2794,22.331677,125.113757,110368.854,159886.304
11,1049,3434,1.752886,1959.054953,138935.303,134673.551
12,2073,2385,1.465326,1627.62416,137835.144,132769.926
13,1436,745,0.566529,1315.025356,142565.585,140253.773
14,2247,1582,1.198251,1320.257609,140844.65,137001.869
15,2234,2343,1.605234,1459.600283,140570.867,135098.745
16,1561,314,0.834636,376.211906,148808.079,133152.946
17,1348,357,0.649781,549.41588,149027.54,131985.223
18,1036,32,0.29751,107.55941,148743.043,131185.433
19,1133,370,0.726974,508.959055,132157.212,149214.891
20,2288,826,1.945837,424.495988,132450.823,144658.678
21,3394,17721,12.201061,1452.414671,151432.398,124502.384
22,1308,58,0.923209,62.824344,149493.781,122376.96
23,3996,3390,9.542934,355.23666,142450.771,145276.527
24,1396,117,5.483848,21.335383,157111.47,141390.862
25,2322,163,1.530252,106.518404,133502.25,138002.827
26,4942,6347,7.747378,819.244911,134071.631,140648.836
27,1522,2591,2.486424,1042.058796,135175.397,138249.394
28,2552,935,27.482034,34.022227,128718.35,134119.028
29,2680,208,1.27306,163.385858,134275.363,132323.285
30,1709,336,1.516029,221.631644,132399.996,127122.477
31,3507,265,1.639448,161.639771,152256.895,137946.189
32,379,1589,0.480186,3309.134377,137074.948,136787.604
33,4343,1508,3.551184,424.647104,150590.675,144129.816
34,770,477,17.19006,27.748594,-39801.785,148079.775
35,601,26,2.412138,10.778819,133228.214,96300.133
36,1291,777,8.256688,94.10553,134749.363,91638.312
37,692,276,0.848182,325.40186,144346.769,127159.991
38,1883,391,2.223685,175.834257,145803.808,146067.497
39,2778,2504,2.954751,847.448736,133837.878,143455.443
40,3695,1215,65.722205,18.486903,143666.847,156168.329
41,5450,346,6.457593,53.580336,136141.472,157340.798
42,1240,2412,1.048339,2300.782476,137993.634,136641.399
43,3353,2760,1.593967,1731.528946,143897.514,137521.182
44,2452,485,2.267866,213.857432,136347.353,150940.417
45,2551,1214,4.467957,271.712552,135474.564,147772.641
46,4323,2289,8.598765,266.201018,140643.727,147828.774
47,2744,4879,1.47229,3313.885172,137979.135,142918.472
